cleanText
StartDate
EndDate
Status
Progress
Duration_seconds
Finished
RecordedDate
ResponseId
DistributionChannel
UserLanguage
Consent
Primary
MajorLeadershipRole
MajorLeadershipRole_TEXT
OpenData
OpenData_Topics_TEXT
OpenData_Further_TEXT
Preregistration
Preregistration_Topics_TEXT
Preregistration_Further_TEXT
Preprints
Preprints_Topics_TEXT
Preprints_Further_TEXT
OpenAccess
OpenAccess_Topics_TEXT
OpenAccess_Further_TEXT
OpenCode
OpenCode_Topics_TEXT
OpenCode_Further_TEXT
Priority_OpenData
Priority_OpenCode
Priority_Preregistration
Priority_Preprints
Priority_OpenAccess
Priority_Other1
Priority_Other1_TEXT
Priority_Other2
Priority_Other2_TEXT
Priority_Other3
Priority_Other3_TEXT
Other_Description_TEXT
randomID
Unit
